title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Development of a deep residual learning algorithm to screen for glaucoma from fundus photography,https://www.nature.com/articles/s41598-018-33013-w,Cited by 66,"https://scholar.google.com/scholar?q=related:vSg3fPqfUe8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",26,All 8 versions,"N Shibata, M Tanito, K Mitsuhashi, Y Fujino… - Scientific reports, 2018 - nature.com","The Purpose of the study was to develop a deep residual learning algorithm to screen for glaucoma from fundus photography and measure its diagnostic performance compared to Residents in Ophthalmology. A training dataset consisted of 1,364 color fundus photographs …"
Deep cross residual learning for multitask visual recognition,https://dl.acm.org/doi/abs/10.1145/2964284.2964309,Cited by 58,"https://scholar.google.com/scholar?q=related:tIrjiuJ2OT8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",27,All 5 versions,"B Jou, SF Chang - Proceedings of the 24th ACM international …, 2016 - dl.acm.org","Residual learning has recently surfaced as an effective means of constructing very deep neural networks for object recognition. However, current incarnations of residual networks do not allow for the modeling and integration of complex relations between closely coupled …"
Deep residual learning for small-footprint keyword spotting,https://ieeexplore.ieee.org/abstract/document/8462688/,Cited by 89,"https://scholar.google.com/scholar?q=related:n2yY1M9HSEEJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",28,All 4 versions,"R Tang, J Lin - … Conference on Acoustics, Speech and Signal …, 2018 - ieeexplore.ieee.org","We explore the application of deep residual learning and dilated convolutions to the keyword spotting task, using the recently-released Google Speech Commands Dataset as our benchmark. Our best residual network (ResNet) implementation significantly …"
Automated pulmonary nodule detection via 3d convnets with online sample filtering and hybrid-loss residual learning,https://link.springer.com/chapter/10.1007/978-3-319-66179-7_72,Cited by 96,"https://scholar.google.com/scholar?q=related:NNE8QMB6TZYJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",29,All 7 versions,"Q Dou, H Chen, Y Jin, H Lin, J Qin, PA Heng - International conference on …, 2017 - Springer","In this paper, we propose a novel framework with 3D convolutional networks (ConvNets) for automated detection of pulmonary nodules from low-dose CT scans, which is a challenging yet crucial task for lung cancer early diagnosis and treatment. Different from previous …"
Residual attention network for image classification,http://openaccess.thecvf.com/content_cvpr_2017/html/Wang_Residual_Attention_Network_CVPR_2017_paper.html,Cited by 1448,"https://scholar.google.com/scholar?q=related:TIxFTvaHaH4J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",30,All 12 versions,"F Wang, M Jiang, C Qian, S Yang… - Proceedings of the …, 2017 - openaccess.thecvf.com","… Importantly, we propose attention residual learning to train very deep Residual At- tention
Networks which can be easily scaled up to hundreds of layers … (2) Attention Residual Learning:
Stacking Attention Mod- ules directly would lead to the obvious performance drop … 
"
Deep residual learning for nonlinear regression,https://www.mdpi.com/1099-4300/22/2/193,Cited by 4,"https://scholar.google.com/scholar?q=related:4fygtVl7l5oJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",31,All 8 versions,"D Chen, F Hu, G Nian, T Yang - Entropy, 2020 - mdpi.com",Deep learning plays a key role in the recent developments of machine learning. This paper develops a deep residual neural network (ResNet) for the regression of nonlinear functions. Convolutional layers and pooling layers are replaced by fully connected layers in the …
Joint residual learning for underwater image enhancement,https://ieeexplore.ieee.org/abstract/document/8451209/,Cited by 23,"https://scholar.google.com/scholar?q=related:Z_KtwlSmz2QJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",32,,"M Hou, R Liu, X Fan, Z Luo - 2018 25th IEEE International …, 2018 - ieeexplore.ieee.org","Improving the quality of underwater image has a significant impact on many signal processing and computer vision applications, while haze-effect and color shift are main handicaps need to be surmounted. Due to the complexity of the underwater environmental …"
Slice-based learning: A programming model for residual learning in critical data slices,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6927210/,Cited by 15,"https://scholar.google.com/scholar?q=related:_uJEv8NKJxoJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",33,All 8 versions,"VS Chen, S Wu, Z Weng, A Ratner… - Advances in neural …, 2019 - ncbi.nlm.nih.gov","In real-world machine learning applications, data subsets correspond to especially critical outcomes: vulnerable cyclist detections are safety-critical in an autonomous driving task, and “question” sentences might be important to a dialogue agent's language understanding for …"
Learning a recurrent residual fusion network for multimodal matching,http://openaccess.thecvf.com/content_iccv_2017/html/Liu_Learning_a_Recurrent_ICCV_2017_paper.html,Cited by 76,"https://scholar.google.com/scholar?q=related:C6lbBxG8IjsJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",34,All 6 versions,"Y Liu, Y Guo, EM Bakker… - Proceedings of the IEEE …, 2017 - openaccess.thecvf.com","A major challenge in matching between vision and language is that they typically have completely different features and representations. In this work, we introduce a novel bridge between the modality-specific representations by creating a co-embedding space based on …"
Deep residual learning and pdes on manifold,https://arxiv.org/abs/1708.05115,Cited by 31,"https://scholar.google.com/scholar?q=related:r2e9KMdqArsJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",35,All 5 versions,"Z Li, Z Shi - arXiv preprint arXiv:1708.05115, 2017 - arxiv.org","In this paper, we formulate the deep residual network (ResNet) as a control problem of transport equation. In ResNet, the transport equation is solved along the characteristics. Based on this observation, deep neural network is closely related to the control problem of …"
Uncertainty guided multi-scale residual learning-using a cycle spinning cnn for single image de-raining,http://openaccess.thecvf.com/content_CVPR_2019/html/Yasarla_Uncertainty_Guided_Multi-Scale_Residual_Learning-Using_a_Cycle_Spinning_CNN_for_CVPR_2019_paper.html,Cited by 43,"https://scholar.google.com/scholar?q=related:VJqAe9rHUsQJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",36,All 6 versions,"R Yasarla, VM Patel - … of the IEEE/CVF Conference on …, 2019 - openaccess.thecvf.com","Single image de-raining is an extremely challenging problem since the rainy image may contain rain streaks which may vary in size, direction and density. Previous approaches have attempted to address this problem by leveraging some prior information to remove rain …"
Super-resolution reconstruction of MR image with a novel residual learning network algorithm,https://iopscience.iop.org/article/10.1088/1361-6560/aab9e9/meta,Cited by 39,"https://scholar.google.com/scholar?q=related:2wU0djpknbgJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",37,All 5 versions,"J Shi, Q Liu, C Wang, Q Zhang, S Ying… - Physics in Medicine & …, 2018 - iopscience.iop.org",Spatial resolution is one of the key parameters of magnetic resonance imaging (MRI). The image super-resolution (SR) technique offers an alternative approach to improve the spatial resolution of MRI due to its simplicity. Convolutional neural networks (CNN)-based SR …
Denoising of 3D magnetic resonance images with multi-channel residual learning of convolutional neural network,https://link.springer.com/article/10.1007/s11604-018-0758-8,Cited by 73,"https://scholar.google.com/scholar?q=related:d7Uru9wFa_EJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",38,All 10 versions,"D Jiang, W Dou, L Vosters, X Xu, Y Sun… - Japanese journal of …, 2018 - Springer",Purpose To test if the proposed deep learning based denoising method denoising convolutional neural networks (DnCNN) with residual learning and multi-channel strategy can denoise three dimensional MR images with Rician noise robustly. Materials and …
Video superresolution via motion compensation and deep residual learning,https://ieeexplore.ieee.org/abstract/document/7858640/,Cited by 65,"https://scholar.google.com/scholar?q=related:RkmXDAbs6i4J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",39,,"D Li, Z Wang - IEEE Transactions on Computational Imaging, 2017 - ieeexplore.ieee.org","Video superresolution (SR) techniques are of essential usages for high-resolution display devices due to the current lack of high-resolution videos. Although many algorithms have been proposed, video SR still remains a very challenging inverse problem under different …"
Deep residual learning for weakly-supervised relation extraction,https://arxiv.org/abs/1707.08866,Cited by 51,"https://scholar.google.com/scholar?q=related:HkWu8SclYi4J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",40,All 6 versions,"YY Huang, WY Wang - arXiv preprint arXiv:1707.08866, 2017 - arxiv.org","Deep residual learning (ResNet) is a new method for training very deep neural networks using identity map-ping for shortcut connections. ResNet has won the ImageNet ILSVRC 2015 classification task, and achieved state-of-the-art performances in many computer …"
A novel deeper one-dimensional CNN with residual learning for fault diagnosis of wheelset bearings in high-speed trains,https://ieeexplore.ieee.org/abstract/document/8584445/,Cited by 79,"https://scholar.google.com/scholar?q=related:WkdnzHSQxcgJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",41,,"D Peng, Z Liu, H Wang, Y Qin, L Jia - IEEE Access, 2018 - ieeexplore.ieee.org","The health condition of a wheelset bearing, the key component of a railway bogie, has a considerable impact on the safety of a train. Traditional bearing fault diagnosis techniques generally extract signals manually and then diagnose the bearing health conditions through …"
Deep residual learning for instrument segmentation in robotic surgery,https://link.springer.com/chapter/10.1007/978-3-030-32692-0_65,Cited by 72,"https://scholar.google.com/scholar?q=related:haH5uJwcDfAJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",42,All 5 versions,"D Pakhomov, V Premachandran, M Allan… - … on Machine Learning in …, 2019 - Springer","Detection, tracking, and pose estimation of surgical instruments provide critical information that can be used to correct inaccuracies in kinematic data in robotic-assisted surgery. Such information can be used for various purposes including integration of pre-and intra-operative …"
Boosting the accuracy of multispectral image pansharpening by learning a deep residual network,https://ieeexplore.ieee.org/abstract/document/8012503/,Cited by 178,"https://scholar.google.com/scholar?q=related:-iBzC0VfZssJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",43,All 4 versions,"Y Wei, Q Yuan, H Shen, L Zhang - IEEE Geoscience and …, 2017 - ieeexplore.ieee.org","In the field of multispectral (MS) and panchromatic image fusion (pansharpening), the impressive effectiveness of deep neural networks has recently been employed to overcome the drawbacks of the traditional linear models and boost the fusion accuracy. However, the …"
Deep residual learning in the jpeg transform domain,http://openaccess.thecvf.com/content_ICCV_2019/html/Ehrlich_Deep_Residual_Learning_in_the_JPEG_Transform_Domain_ICCV_2019_paper.html,Cited by 16,"https://scholar.google.com/scholar?q=related:93lv2JLh6_QJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",44,All 8 versions,"M Ehrlich, LS Davis - Proceedings of the IEEE/CVF …, 2019 - openaccess.thecvf.com",We introduce a general method of performing Residual Network inference and learning in the JPEG transform domain that allows the network to consume compressed images as input. Our formulation leverages the linearity of the JPEG transform to redefine convolution …
Color image demosaicking via deep residual learning,https://www4.comp.polyu.edu.hk/~cslzhang/paper/CNNCDM_ICME2017.pdf,Cited by 46,"https://scholar.google.com/scholar?q=related:DZAV4Mw8t2YJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",45,All 2 versions,"R Tan, K Zhang, W Zuo, L Zhang - IEEE Int. Conf. Multimedia …, 2017 - comp.polyu.edu.hk","Color demosaicking plays a key role in digital imaging with a color filter array. Most existing demosaicking methods are based on hand-crafted priors, which may exhibit unpleasant visual artifacts in hard cases (eg, regions with high color saturation and sharp color …"
Video super-resolution via residual learning,https://ieeexplore.ieee.org/abstract/document/8347122/,Cited by 23,"https://scholar.google.com/scholar?q=related:Oa4csVHCoK8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",46,,"W Wang, C Ren, X He, H Chen, L Qing - IEEE Access, 2018 - ieeexplore.ieee.org","Convolutional neural networks have been widely applied in many low level vision tasks. In this paper, we propose a video super-resolution (SR) method named enhanced video SR network with residual blocks (EVSR). The proposed EVSR fully exploits spatio-temporal …"
Fine-grained leukocyte classification with deep residual learning for microscopic images,https://www.sciencedirect.com/science/article/pii/S0169260718300567,Cited by 50,"https://scholar.google.com/scholar?q=related:h_JdXx9SnVIJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",47,All 4 versions,"F Qin, N Gao, Y Peng, Z Wu, S Shen… - Computer methods and …, 2018 - Elsevier","Background and objective: Leukocyte classification and cytometry have wide applications in medical domain, previous researches usually exploit machine learning techniques to classify leukocytes automatically. However, constrained by the past development of machine …"
Beyond deep residual learning for image restoration: Persistent homology-guided manifold simplification,http://openaccess.thecvf.com/content_cvpr_2017_workshops/w12/html/Bae_Beyond_Deep_Residual_CVPR_2017_paper.html,Cited by 91,"https://scholar.google.com/scholar?q=related:UTvQLXm9SmkJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",48,All 9 versions,"W Bae, J Yoo, J Chul Ye - Proceedings of the IEEE …, 2017 - openaccess.thecvf.com","The latest deep learning approaches perform better than the state-of-the-art signal processing approaches in various image restoration tasks. However, if an image contains many patterns and structures, the performance of these CNNs is still inferior. To address this …"
Deep Residual Learning-Based Enhanced JPEG Compression in the Internet of Things,https://ieeexplore.ieee.org/abstract/document/9093951/,Cited by 13,"https://scholar.google.com/scholar?q=related:EUY_5HyMLssJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",49,,"H Qiu, Q Zheng, G Memmi, J Lu, M Qiu… - IEEE Transactions …, 2020 - ieeexplore.ieee.org","With the development of big data and network technology, there are more use cases, such as edge computing, that require more secure and efficient multimedia big data transmission. Data compression methods can help achieving many tasks like providing data integrity …"
Hierarchical residual learning for image denoising,https://www.sciencedirect.com/science/article/pii/S0923596518310294,Cited by 6,"https://scholar.google.com/scholar?q=related:kBNc05TUl-4J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",50,All 4 versions,"W Shi, F Jiang, S Zhang, R Wang, D Zhao… - Signal Processing: Image …, 2019 - Elsevier","In recent years, residual learning based convolutional neural networks have been applied to image restoration and achieved some success. To avoid network degradation, deep layers in these methods are identity mappings, which are not easy to be learned as observed in …"
Metal artifact reduction on cervical CT images by deep residual learning,https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-018-0609-y,Cited by 25,"https://scholar.google.com/scholar?q=related:J05puZQ6kcUJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",51,All 12 versions,"X Huang, J Wang, F Tang… - Biomedical …, 2018 - biomedical-engineering-online …","Cervical cancer is the fifth most common cancer among women, which is the third leading cause of cancer death in women worldwide. Brachytherapy is the most effective treatment for cervical cancer. For brachytherapy, computed tomography (CT) imaging is necessary since …"
